id,type,severity,entityType,entityKey,field,manualPackValue,providerSourceId,providerValue,currentRecommendation,decision,reviewerNote,status
review-match-GB-5-score,MATCH_RESULT_CONFLICT,HIGH,matches,GB-5,score,Switzerland 3-1 Canada,mominul_2026_dataset,Switzerland 2-1 Canada (matches.csv row 51),KEEP_MANUAL_VERIFIED,,,PENDING
review-match-GROUP-Group-B-flag-ca-flag-ch-homeScore,MATCH_RESULT_CONFLICT,HIGH,matches,GROUP|Group B|flag:ca~flag:ch,homeScore,3,openfootball_worldcup_2026,2,KEEP_MANUAL_VERIFIED,,,PENDING
review-pack-C-001,MATCH_RESULT_CONFLICT,HIGH,matches,manual-verified-2026-v1:C-001,final.shots,20-2,,,NEEDS_SOURCE,,,PENDING
review-efi-license,EFI_ANALYTICS_CANDIDATE,MEDIUM,source,bustami_fifa_efi_2026,license,,bustami_fifa_efi_2026,,RESEARCH_ONLY_UNTIL_LICENSE_REVIEW,,,PENDING
review-gap-GB-6,MATCH_GAP_FILL,MEDIUM,matches,GB-6,result,,mominul_2026_dataset,Bosnia and Herzegovina 3-1 Qatar (2026-06-24),CANDIDATE_FOR_APPROVAL_AFTER_VALIDATION,,,PENDING
review-gap-M10,MATCH_GAP_FILL,MEDIUM,matches,M10,result,,mominul_2026_dataset,Germany 7-1 Curaçao (2026-06-14),CANDIDATE_FOR_APPROVAL_AFTER_VALIDATION,,,PENDING
review-gap-M11,MATCH_GAP_FILL,MEDIUM,matches,M11,result,,mominul_2026_dataset,Netherlands 2-2 Japan (2026-06-14),CANDIDATE_FOR_APPROVAL_AFTER_VALIDATION,,,PENDING
review-gap-M12,MATCH_GAP_FILL,MEDIUM,matches,M12,result,,mominul_2026_dataset,23 5-1 24 (2026-06-14),CANDIDATE_FOR_APPROVAL_AFTER_VALIDATION,,,PENDING
review-gap-M13,MATCH_GAP_FILL,MEDIUM,matches,M13,result,,mominul_2026_dataset,"Iran 2–2 New Zealand (June 15, 2026)",CANDIDATE_FOR_APPROVAL_AFTER_VALIDATION,,,PENDING
review-gap-M14,MATCH_GAP_FILL,MEDIUM,matches,M14,result,,mominul_2026_dataset,"Spain 0–0 Cape Verde (June 15, 2026)",CANDIDATE_FOR_APPROVAL_AFTER_VALIDATION,,,PENDING
review-gap-M15,MATCH_GAP_FILL,MEDIUM,matches,M15,result,,mominul_2026_dataset,Belgium 1-1 Egypt (2026-06-15),CANDIDATE_FOR_APPROVAL_AFTER_VALIDATION,,,PENDING
review-gap-M16,MATCH_GAP_FILL,MEDIUM,matches,M16,result,,mominul_2026_dataset,Saudi Arabia 1-1 Uruguay (2026-06-15),CANDIDATE_FOR_APPROVAL_AFTER_VALIDATION,,,PENDING
review-gap-M22,MATCH_GAP_FILL,MEDIUM,matches,M22,result,,mominul_2026_dataset,45 4-2 46 (2026-06-17),CANDIDATE_FOR_APPROVAL_AFTER_VALIDATION,,,PENDING
review-gap-M24,MATCH_GAP_FILL,MEDIUM,matches,M24,result,,mominul_2026_dataset,Ghana 1-0 Panama (2026-06-17),CANDIDATE_FOR_APPROVAL_AFTER_VALIDATION,,,PENDING
review-gap-M29,MATCH_GAP_FILL,MEDIUM,matches,M29,result,,mominul_2026_dataset,9 3-0 11 (2026-06-19),CANDIDATE_FOR_APPROVAL_AFTER_VALIDATION,,,PENDING
review-gap-M30,MATCH_GAP_FILL,MEDIUM,matches,M30,result,,mominul_2026_dataset,12 0-1 10 (2026-06-19),CANDIDATE_FOR_APPROVAL_AFTER_VALIDATION,,,PENDING
review-gap-M31,MATCH_GAP_FILL,MEDIUM,matches,M31,result,,mominul_2026_dataset,13 2-0 15 (2026-06-19),CANDIDATE_FOR_APPROVAL_AFTER_VALIDATION,,,PENDING
review-gap-M33,MATCH_GAP_FILL,MEDIUM,matches,M33,result,,mominul_2026_dataset,17 2-1 19 (2026-06-20),CANDIDATE_FOR_APPROVAL_AFTER_VALIDATION,,,PENDING
review-gap-M34,MATCH_GAP_FILL,MEDIUM,matches,M34,result,,mominul_2026_dataset,20 0-0 18 (2026-06-20),CANDIDATE_FOR_APPROVAL_AFTER_VALIDATION,,,PENDING
review-gap-M35,MATCH_GAP_FILL,MEDIUM,matches,M35,result,,mominul_2026_dataset,21 5-1 23 (2026-06-20),CANDIDATE_FOR_APPROVAL_AFTER_VALIDATION,,,PENDING
review-gap-M36,MATCH_GAP_FILL,MEDIUM,matches,M36,result,,mominul_2026_dataset,24 0-4 22 (2026-06-20),CANDIDATE_FOR_APPROVAL_AFTER_VALIDATION,,,PENDING
review-gap-M37,MATCH_GAP_FILL,MEDIUM,matches,M37,result,,mominul_2026_dataset,"Belgium 0–0 Iran (June 21, 2026)",CANDIDATE_FOR_APPROVAL_AFTER_VALIDATION,,,PENDING
review-gap-M38,MATCH_GAP_FILL,MEDIUM,matches,M38,result,,mominul_2026_dataset,28 1-3 26 (2026-06-21),CANDIDATE_FOR_APPROVAL_AFTER_VALIDATION,,,PENDING
review-gap-M39,MATCH_GAP_FILL,MEDIUM,matches,M39,result,,mominul_2026_dataset,29 4-0 31 (2026-06-21),CANDIDATE_FOR_APPROVAL_AFTER_VALIDATION,,,PENDING
review-gap-M4,MATCH_GAP_FILL,MEDIUM,matches,M4,result,,mominul_2026_dataset,13 4-1 14 (2026-06-12),CANDIDATE_FOR_APPROVAL_AFTER_VALIDATION,,,PENDING
review-gap-M40,MATCH_GAP_FILL,MEDIUM,matches,M40,result,,mominul_2026_dataset,"Uruguay 2–2 Cape Verde (June 21, 2026)",CANDIDATE_FOR_APPROVAL_AFTER_VALIDATION,,,PENDING
review-gap-M46,MATCH_GAP_FILL,MEDIUM,matches,M46,result,,mominul_2026_dataset,Panama 0-1 Croatia (2026-06-23),CANDIDATE_FOR_APPROVAL_AFTER_VALIDATION,,,PENDING
review-gap-M48,MATCH_GAP_FILL,MEDIUM,matches,M48,result,,mominul_2026_dataset,England 0-0 Ghana (2026-06-23),CANDIDATE_FOR_APPROVAL_AFTER_VALIDATION,,,PENDING
review-gap-M5,MATCH_GAP_FILL,MEDIUM,matches,M5,result,,mominul_2026_dataset,Haiti 0-1 Scotland (2026-06-13),CANDIDATE_FOR_APPROVAL_AFTER_VALIDATION,,,PENDING
